Gender,Education_Level,Preferred_Activities,Location,Favorite_Season,Pets,Environmental_Concerns,Preference,Proximity_to_Mountains,Proximity_to_Beaches,Vacation_Budget,Travel_Frequency,Income,Age
male,bachelor,sunbathing,urban,summer,1,0,0,198,175,1951,0,106767,22
male,bachelor,skiing,urban,winter,0,0,0,208,91,3257,2,58615,65
female,master,sunbathing,urban,summer,0,1,0,76,9,1635,0,113769,36
male,high school,swimming,suburban,summer,0,1,0,17,69,2302,8,22890,21
female,master,sunbathing,suburban,spring,1,0,0,222,66,3574,4,114053,52
male,bachelor,hiking,rural,summer,1,0,0,296,228,1380,2,71029,66
female,doctorate,skiing,urban,winter,1,0,1,11,14,1033,1,35159,34
male,high school,hiking,urban,fall,0,1,1,14,33,3015,6,34750,61
female,bachelor,swimming,rural,fall,0,0,0,11,251,886,1,35616,45
female,master,hiking,rural,spring,1,0,1,253,299,4404,2,102866,47
male,high school,sunbathing,rural,summer,0,1,0,33,230,2840,5,77535,46
female,high school,hiking,suburban,winter,1,1,1,8,70,2852,3,60172,63
non-binary,bachelor,hiking,suburban,summer,0,1,1,148,195,2194,7,81136,23
male,doctorate,sunbathing,urban,fall,1,1,0,239,266,3524,6,49023,52
female,bachelor,swimming,suburban,summer,1,0,0,5,297,3763,6,36244,58
male,master,skiing,suburban,winter,1,0,1,89,262,3177,2,52515,54
male,master,sunbathing,rural,summer,0,0,0,243,135,2324,7,80154,41
female,master,skiing,urban,spring,1,1,1,152,298,770,7,119374,46
non-binary,doctorate,sunbathing,suburban,fall,0,1,0,286,93,2262,7,108412,66
male,high school,sunbathing,urban,summer,0,1,0,53,161,1661,3,22857,63
non-binary,bachelor,sunbathing,rural,winter,1,1,0,58,43,1572,2,90606,48
non-binary,high school,hiking,rural,winter,0,1,0,201,98,1379,2,118456,52
female,high school,hiking,urban,fall,0,1,1,45,210,3023,2,119954,50
female,high school,skiing,urban,spring,1,0,0,279,37,4755,4,105890,69
male,high school,swimming,urban,winter,0,0,0,225,240,2855,4,119634,38
female,doctorate,swimming,urban,fall,1,0,0,13,16,4279,8,67371,49
male,master,skiing,rural,spring,1,0,1,127,207,3694,0,82375,40
male,master,hiking,urban,winter,1,0,1,35,191,3113,0,115519,50
non-binary,doctorate,hiking,urban,winter,0,1,0,232,228,2382,4,46929,20
female,doctorate,swimming,rural,summer,1,0,0,128,161,1528,1,47715,35
female,bachelor,skiing,rural,spring,0,1,0,204,100,4029,5,118588,42
male,doctorate,sunbathing,suburban,spring,1,1,0,275,283,2333,2,38974,59
non-binary,bachelor,hiking,rural,fall,0,1,0,225,221,1548,3,91135,48
female,bachelor,skiing,suburban,spring,0,1,1,26,63,3976,3,48695,20
non-binary,doctorate,hiking,suburban,fall,0,1,1,265,284,4187,5,64042,57
non-binary,master,skiing,suburban,winter,1,0,1,277,283,4142,4,26782,63
male,doctorate,swimming,urban,fall,0,0,0,218,290,4214,9,47933,41
female,high school,hiking,urban,spring,1,0,0,239,189,4018,1,47632,67
female,high school,sunbathing,suburban,summer,1,0,0,110,281,2828,3,106802,49
female,high school,sunbathing,suburban,fall,1,0,0,118,35,1788,4,98597,64
non-binary,bachelor,swimming,urban,fall,1,0,0,101,57,3638,4,75425,39
female,bachelor,sunbathing,suburban,fall,1,0,0,229,165,4534,9,57606,40
male,high school,sunbathing,suburban,winter,1,1,0,66,65,643,1,91442,19
non-binary,high school,sunbathing,suburban,spring,0,0,0,152,253,1174,0,110351,44
female,doctorate,swimming,suburban,spring,1,1,0,50,118,3098,6,27719,59
non-binary,doctorate,skiing,rural,fall,0,1,1,41,193,4114,2,44721,19
non-binary,doctorate,hiking,suburban,spring,0,1,0,238,71,1599,4,29507,43
non-binary,doctorate,skiing,urban,fall,1,1,0,296,247,3629,8,50007,34
male,bachelor,skiing,rural,spring,0,1,1,57,158,4287,1,69459,57
female,master,skiing,urban,fall,1,1,1,118,134,4041,7,77141,50
female,doctorate,sunbathing,rural,winter,0,0,0,241,258,4331,4,70036,26
non-binary,bachelor,hiking,urban,summer,1,0,1,139,249,4615,6,27797,60
female,bachelor,skiing,urban,spring,0,0,0,274,203,3646,6,94353,65
non-binary,doctorate,hiking,rural,spring,0,1,0,230,169,1153,3,79923,56
non-binary,high school,swimming,rural,summer,1,1,0,188,141,3596,6,112388,46
non-binary,high school,swimming,rural,spring,0,0,0,214,288,1361,5,76101,59
male,high school,swimming,urban,spring,1,1,0,252,156,4273,8,74291,43
female,bachelor,sunbathing,urban,winter,0,1,0,246,223,4590,9,104227,52
non-binary,high school,swimming,rural,spring,0,1,0,223,171,4649,3,92688,67
female,bachelor,sunbathing,rural,winter,1,1,0,93,208,4435,5,98437,42
male,master,skiing,suburban,fall,0,1,1,10,214,3895,3,71396,41
male,doctorate,skiing,suburban,fall,1,0,1,118,203,4906,8,57253,30
non-binary,bachelor,skiing,suburban,winter,1,1,0,295,46,916,9,78046,24
male,high school,hiking,rural,summer,1,0,0,277,135,2326,0,77689,53
male,doctorate,swimming,rural,winter,0,0,0,111,110,3188,1,112800,62
male,high school,hiking,urban,winter,1,1,1,20,64,2204,7,60063,37
male,master,swimming,suburban,spring,0,1,0,227,271,1745,4,91793,18
male,high school,swimming,suburban,spring,1,1,0,215,264,3092,5,55774,25
male,doctorate,skiing,suburban,spring,1,0,0,236,5,4761,5,105198,63
female,high school,swimming,rural,summer,0,0,0,183,156,4644,0,22895,33
male,master,sunbathing,rural,spring,1,0,0,152,222,3203,6,44406,31
female,doctorate,sunbathing,urban,fall,1,0,0,261,77,3631,1,51848,29
non-binary,master,sunbathing,suburban,spring,0,1,0,60,231,2554,6,76021,68
male,doctorate,hiking,rural,spring,0,0,0,80,79,1782,9,69077,40
male,bachelor,sunbathing,rural,spring,1,0,0,263,293,1009,4,102628,32
female,doctorate,hiking,suburban,summer,1,0,0,286,141,4178,3,119498,45
male,high school,skiing,rural,fall,1,1,0,247,4,3178,8,36644,51
female,doctorate,swimming,suburban,winter,0,1,0,153,265,4519,8,64809,19
female,high school,sunbathing,suburban,fall,0,0,0,93,111,3702,5,112021,49
male,doctorate,sunbathing,suburban,winter,0,0,0,130,223,2357,0,105155,40
non-binary,master,swimming,suburban,fall,0,1,0,288,160,1776,0,45250,39
non-binary,high school,skiing,suburban,summer,1,1,0,281,67,2356,9,78670,68
non-binary,high school,swimming,rural,summer,1,1,0,106,146,1346,1,76207,42
female,high school,sunbathing,urban,summer,1,1,0,226,220,4077,1,50884,39
female,high school,sunbathing,rural,spring,1,1,0,292,35,3464,9,110025,39
male,bachelor,sunbathing,rural,summer,0,0,0,143,279,3907,7,103183,66
female,master,skiing,suburban,summer,1,0,0,210,103,2696,2,51271,69
non-binary,high school,skiing,rural,fall,0,1,0,271,221,3747,0,99375,59
male,doctorate,skiing,rural,fall,1,1,0,274,49,1891,5,118500,23
non-binary,high school,sunbathing,urban,spring,1,1,0,33,201,3077,7,119594,32
male,high school,sunbathing,suburban,winter,0,1,0,38,185,807,5,86610,60
non-binary,master,swimming,suburban,spring,1,0,0,270,105,4344,3,43919,54
male,master,skiing,rural,spring,1,1,0,230,213,2166,8,105357,50
non-binary,high school,skiing,rural,fall,0,1,0,226,122,4046,9,77581,25
female,bachelor,sunbathing,urban,summer,1,1,0,148,237,1204,7,64367,61
non-binary,bachelor,skiing,suburban,summer,0,1,1,70,296,1477,0,119249,61
male,doctorate,hiking,suburban,summer,0,1,1,138,172,3603,5,110818,22
non-binary,doctorate,skiing,rural,fall,1,1,0,131,130,502,7,78432,56
female,doctorate,hiking,rural,summer,0,0,1,90,215,1847,3,36173,21
male,doctorate,sunbathing,urban,summer,1,0,0,89,15,4172,8,41855,23
female,bachelor,sunbathing,suburban,spring,1,0,0,203,9,3340,8,75061,62
non-binary,bachelor,swimming,urban,winter,1,0,0,117,89,2206,1,99179,49
male,master,sunbathing,urban,summer,1,1,0,205,46,1160,8,80293,69
non-binary,master,hiking,suburban,spring,0,1,0,270,148,2312,2,69318,47
male,doctorate,skiing,rural,spring,1,1,1,81,197,2084,6,84104,64
female,high school,swimming,urban,summer,0,1,0,164,135,2423,9,64628,52
female,master,swimming,rural,fall,0,1,0,273,102,4938,6,56831,57
female,bachelor,sunbathing,rural,fall,1,0,0,103,114,4155,1,38224,69
non-binary,high school,sunbathing,suburban,fall,1,0,0,32,143,3573,6,33168,33
male,master,sunbathing,suburban,winter,0,0,0,223,65,1469,3,58414,30
female,high school,swimming,urban,winter,0,1,0,152,274,3770,7,36160,67
non-binary,master,sunbathing,suburban,fall,1,0,0,50,194,2895,7,40575,59
non-binary,doctorate,sunbathing,rural,fall,0,0,0,47,125,3029,8,65281,47
male,doctorate,skiing,rural,fall,0,1,1,12,275,3271,6,97299,36
female,high school,swimming,suburban,winter,0,0,0,50,194,3878,1,25749,34
non-binary,bachelor,sunbathing,urban,fall,1,0,0,173,139,2189,6,76518,36
female,bachelor,sunbathing,suburban,spring,0,1,0,47,47,2706,3,114860,45
male,doctorate,hiking,urban,fall,1,1,0,137,52,1459,7,28884,43
female,doctorate,swimming,urban,summer,0,0,0,268,75,1996,7,100038,54
female,bachelor,sunbathing,suburban,fall,0,0,0,285,47,3029,0,48613,43
non-binary,doctorate,hiking,suburban,spring,1,0,0,247,77,1137,7,43432,40
non-binary,master,sunbathing,suburban,summer,0,0,0,235,91,3872,9,21129,26
male,doctorate,swimming,suburban,winter,0,1,0,193,297,3133,3,115097,29
male,high school,skiing,rural,winter,0,1,1,39,138,2174,1,81405,18
male,doctorate,swimming,rural,winter,0,0,0,225,107,947,9,77108,18
non-binary,doctorate,hiking,urban,summer,0,1,0,275,77,3358,7,101035,64
male,bachelor,swimming,suburban,winter,0,1,0,289,178,695,3,53868,51
male,bachelor,hiking,urban,spring,0,0,0,146,97,1955,9,59805,49
non-binary,high school,skiing,suburban,spring,1,0,1,15,144,617,5,95825,65
male,bachelor,swimming,urban,spring,0,1,0,285,251,3291,5,82092,42
non-binary,high school,skiing,rural,summer,0,0,0,247,85,1208,9,90323,57
male,master,swimming,suburban,summer,0,1,0,214,145,3908,7,113658,62
non-binary,bachelor,swimming,urban,spring,0,0,0,85,291,975,4,20347,18
female,high school,hiking,suburban,winter,0,0,1,8,256,4091,6,59396,33
non-binary,doctorate,sunbathing,urban,winter,1,1,0,60,136,4713,5,69359,56
non-binary,high school,swimming,rural,spring,0,1,0,244,250,3510,5,99476,22
non-binary,high school,skiing,suburban,fall,0,1,0,114,95,967,0,67764,39
male,doctorate,sunbathing,urban,spring,1,0,0,46,60,4770,4,60118,46
non-binary,bachelor,sunbathing,rural,summer,0,1,0,250,49,1046,4,21545,20
non-binary,doctorate,hiking,urban,spring,1,1,0,198,61,2798,1,74221,29
male,master,sunbathing,urban,summer,0,0,0,59,31,3134,8,69782,43
female,high school,swimming,suburban,fall,0,0,0,25,14,4773,7,95867,33
non-binary,doctorate,skiing,suburban,winter,0,0,1,252,274,2039,3,71868,68
male,master,swimming,urban,spring,0,1,0,175,293,4665,1,66190,54
female,master,skiing,rural,summer,0,0,1,129,292,3477,4,64711,39
non-binary,bachelor,skiing,suburban,spring,0,0,0,81,77,3797,9,85154,46
female,master,swimming,urban,spring,0,0,0,36,163,656,6,67616,31
non-binary,high school,swimming,urban,summer,0,0,0,6,284,4332,8,105286,45
non-binary,master,skiing,suburban,spring,0,0,0,258,82,2374,6,77473,22
female,master,swimming,urban,summer,0,0,0,102,67,3226,6,60649,64
female,doctorate,hiking,urban,winter,1,0,0,111,64,3997,5,101566,66
female,bachelor,swimming,suburban,spring,0,0,0,177,208,1701,8,55473,47
non-binary,master,hiking,rural,winter,0,0,1,129,175,850,2,73382,63
non-binary,high school,skiing,rural,winter,1,0,1,143,204,609,6,86308,69
male,high school,hiking,urban,summer,0,0,0,164,150,1066,9,106428,22
male,high school,skiing,urban,winter,0,0,1,33,153,1250,1,52707,29
male,bachelor,sunbathing,urban,spring,1,1,0,209,216,3030,8,101079,33
non-binary,bachelor,swimming,suburban,fall,0,1,0,122,60,4569,4,62050,43
female,high school,swimming,suburban,fall,1,1,0,163,274,2722,8,94823,43
male,master,swimming,urban,summer,0,1,0,238,161,956,5,53355,65
non-binary,bachelor,hiking,suburban,winter,0,0,1,9,142,3994,7,76599,38
female,master,skiing,rural,fall,0,1,1,154,165,1176,4,48946,56
male,master,sunbathing,rural,fall,0,0,0,121,276,1249,0,105750,53
female,doctorate,hiking,urban,fall,1,0,1,275,298,3095,9,84611,50
female,doctorate,sunbathing,suburban,summer,0,1,0,125,239,665,4,69233,47
male,bachelor,swimming,urban,fall,0,1,0,217,187,1319,5,106823,54
male,master,skiing,urban,fall,1,1,1,95,249,2127,4,90391,40
non-binary,master,skiing,urban,summer,0,1,0,139,132,1749,0,48286,27
female,high school,skiing,urban,summer,0,1,1,5,13,632,0,68383,22
male,master,skiing,rural,spring,0,1,1,95,278,1819,3,104769,53
male,master,hiking,urban,winter,1,1,1,75,260,2564,6,85240,51
female,bachelor,skiing,suburban,winter,0,0,0,109,43,3143,8,57499,69
female,bachelor,skiing,rural,fall,0,0,1,50,254,4858,3,51750,48
female,master,hiking,suburban,winter,0,1,1,279,292,2430,4,63082,27
male,master,hiking,rural,spring,0,1,1,76,96,3953,4,89157,36
male,doctorate,sunbathing,rural,winter,1,1,0,75,285,4176,9,70066,49
non-binary,bachelor,hiking,suburban,fall,0,1,0,267,58,1983,4,25932,18
female,master,skiing,suburban,summer,1,1,0,153,2,4219,3,62643,22
male,high school,sunbathing,rural,spring,0,0,0,9,155,2818,6,96250,62
male,doctorate,hiking,urban,spring,1,1,0,215,137,756,0,106238,21
female,master,hiking,urban,spring,0,0,0,278,30,4937,3,62712,33
male,doctorate,sunbathing,rural,spring,0,1,0,25,198,3695,4,30103,41
female,master,swimming,suburban,summer,0,1,0,33,164,4917,6,101025,33
male,master,sunbathing,rural,spring,0,0,0,237,287,4709,2,32252,19
female,doctorate,sunbathing,suburban,summer,1,0,0,67,237,1762,1,43076,66
female,master,hiking,rural,winter,1,1,1,135,236,4365,3,26174,45
male,bachelor,hiking,rural,fall,0,1,1,0,169,1652,6,107593,49
female,doctorate,swimming,suburban,summer,0,1,0,96,217,3051,1,38029,44
non-binary,master,swimming,rural,summer,1,0,0,12,119,3392,6,96756,37
non-binary,doctorate,skiing,rural,spring,0,1,0,202,118,819,7,87552,41
female,high school,hiking,rural,spring,1,0,0,230,8,545,5,92393,29
non-binary,master,skiing,urban,winter,0,1,0,116,21,995,8,87579,67
male,high school,hiking,urban,fall,0,0,1,52,251,2014,0,67701,52
male,doctorate,sunbathing,urban,winter,1,0,0,16,32,4467,9,86740,50
female,bachelor,skiing,rural,spring,1,1,0,39,6,606,1,76202,50
male,high school,swimming,urban,summer,1,0,0,292,113,1734,3,110485,68
male,bachelor,sunbathing,suburban,summer,0,1,0,106,276,2604,7,41864,60
non-binary,bachelor,swimming,rural,fall,0,1,0,36,222,904,2,96747,54
male,bachelor,sunbathing,urban,winter,0,0,0,286,296,2430,7,83987,29
male,high school,hiking,rural,spring,1,0,1,159,235,1066,3,96005,20
non-binary,doctorate,swimming,suburban,winter,1,1,0,38,70,806,4,107052,18
female,doctorate,swimming,rural,summer,1,1,0,275,95,4401,2,41925,50
female,doctorate,skiing,suburban,winter,0,0,1,205,272,3383,5,100913,57
non-binary,high school,skiing,suburban,summer,1,1,1,226,236,4138,2,109487,27
non-binary,high school,sunbathing,urban,summer,0,0,0,135,280,4057,8,89800,60
male,bachelor,hiking,rural,summer,1,1,1,284,297,3427,5,21073,61
male,master,sunbathing,suburban,summer,0,0,0,0,206,2335,0,67209,46
female,high school,swimming,rural,spring,1,0,0,11,244,2426,9,105210,30
female,high school,skiing,suburban,winter,0,0,1,59,238,2961,2,27873,29
non-binary,high school,hiking,suburban,winter,1,0,1,82,92,2793,7,20040,48
male,master,swimming,suburban,spring,1,1,0,143,237,1519,1,93073,63
non-binary,bachelor,hiking,suburban,spring,0,1,1,66,141,2813,7,21655,19
female,doctorate,sunbathing,urban,spring,0,1,0,57,159,662,9,73786,68
female,master,hiking,suburban,spring,0,1,1,277,288,1816,5,30938,67
non-binary,doctorate,hiking,suburban,winter,0,0,1,33,107,946,3,70496,52
male,doctorate,sunbathing,suburban,winter,0,1,0,25,205,2817,1,79533,40
male,master,skiing,urban,fall,0,0,0,151,101,3469,2,20930,34
non-binary,doctorate,hiking,suburban,spring,1,1,1,239,256,1688,1,34614,43
female,master,swimming,rural,winter,1,0,0,94,48,3439,9,46090,25
non-binary,bachelor,sunbathing,rural,summer,1,0,0,182,129,2465,3,111674,46
non-binary,high school,swimming,urban,spring,1,1,0,6,63,800,4,114641,43
male,high school,swimming,suburban,fall,1,0,0,233,30,4779,4,62849,27
female,high school,swimming,urban,winter,0,1,0,100,261,3145,0,78032,43
female,doctorate,hiking,suburban,spring,0,0,1,71,255,4533,8,97658,51
male,doctorate,hiking,suburban,fall,1,1,1,154,267,4473,0,28162,68
female,bachelor,skiing,urban,summer,1,0,0,192,173,797,4,88948,58
female,master,sunbathing,urban,spring,0,1,0,57,62,2094,1,38534,24
male,bachelor,skiing,urban,spring,0,1,0,193,14,3666,3,61858,21
female,bachelor,sunbathing,rural,fall,1,1,0,30,175,1711,4,110435,67
female,master,sunbathing,urban,fall,1,0,0,30,37,3491,5,80174,62
non-binary,doctorate,skiing,suburban,summer,0,0,0,284,76,2922,8,89314,28
female,bachelor,sunbathing,urban,summer,0,1,0,294,228,1173,2,26658,46
non-binary,doctorate,swimming,suburban,winter,0,1,0,159,297,768,8,25107,53
non-binary,master,swimming,rural,spring,1,1,0,163,199,2288,2,68657,42
non-binary,bachelor,swimming,rural,winter,1,1,0,6,154,4988,1,86413,38
male,doctorate,hiking,rural,winter,0,1,1,22,59,2084,5,26836,53
male,bachelor,hiking,urban,summer,1,1,1,28,166,1356,4,112424,27
female,doctorate,hiking,urban,summer,1,1,0,286,135,1475,6,42631,54
non-binary,bachelor,skiing,rural,summer,0,0,0,271,133,2049,2,26055,26
female,master,hiking,rural,winter,1,0,0,274,74,2958,8,26583,41
female,bachelor,skiing,suburban,summer,1,1,1,144,215,3162,0,81196,52
female,high school,skiing,suburban,summer,0,1,0,209,197,708,2,73166,66
female,high school,sunbathing,suburban,summer,1,0,0,183,221,1547,4,117609,52
female,doctorate,skiing,urban,fall,0,1,0,264,127,4567,2,53387,65
non-binary,doctorate,sunbathing,suburban,winter,1,1,0,2,229,2810,2,29604,53
non-binary,master,hiking,suburban,fall,0,1,1,24,100,900,8,90997,35
non-binary,master,skiing,urban,summer,0,1,0,253,92,1903,9,36644,66
non-binary,doctorate,sunbathing,rural,winter,1,0,0,151,291,1144,8,113945,56
male,bachelor,sunbathing,rural,spring,1,0,0,70,205,1277,5,96171,49
non-binary,doctorate,skiing,urban,fall,1,1,1,48,170,1876,6,69058,41
non-binary,high school,swimming,suburban,spring,1,1,0,68,182,509,8,22644,40
non-binary,high school,skiing,rural,spring,0,0,0,84,69,2979,5,106425,49
male,high school,skiing,rural,fall,1,0,1,85,95,2451,5,58272,54
female,doctorate,sunbathing,urban,winter,1,0,0,36,154,2564,9,40208,29
male,bachelor,swimming,rural,fall,1,0,0,108,296,4168,0,108201,66
non-binary,high school,sunbathing,rural,summer,1,1,0,258,42,4349,0,32709,30
non-binary,doctorate,swimming,suburban,spring,1,1,0,90,280,4335,2,85687,40
male,doctorate,swimming,rural,spring,1,1,0,52,195,4887,8,92414,42
female,doctorate,sunbathing,suburban,winter,1,0,0,141,237,4100,7,91404,52
male,high school,sunbathing,rural,fall,1,1,0,273,135,1172,9,101966,58
male,high school,swimming,rural,spring,0,1,0,29,42,3089,2,60790,47
non-binary,high school,swimming,suburban,fall,0,1,0,162,288,2573,3,93556,34
male,bachelor,hiking,suburban,summer,1,1,0,231,92,3222,6,97057,66
male,bachelor,sunbathing,suburban,winter,1,0,0,37,220,2077,2,27540,37
male,master,swimming,suburban,fall,1,1,0,215,263,2971,8,68507,65
male,bachelor,sunbathing,suburban,winter,1,0,0,57,182,3529,4,72381,42
male,bachelor,hiking,suburban,winter,1,1,1,141,218,2606,8,88760,39
male,high school,sunbathing,rural,spring,1,1,0,199,193,2339,0,42896,30
non-binary,master,swimming,suburban,spring,1,1,0,31,147,3507,8,59101,36
non-binary,bachelor,hiking,rural,winter,0,1,0,222,166,4508,4,39197,66
non-binary,master,skiing,rural,spring,0,0,1,125,177,2695,3,29472,53
non-binary,doctorate,sunbathing,urban,summer,0,1,0,43,224,3941,6,39931,29
male,bachelor,swimming,suburban,spring,0,1,0,174,82,4673,6,94942,58
male,bachelor,hiking,suburban,summer,1,0,1,190,251,1866,3,67059,36
male,bachelor,swimming,suburban,spring,0,0,0,219,75,3214,8,119514,29
male,high school,skiing,urban,fall,0,1,1,20,174,2728,2,103567,26
